event_date,event_type,asset,indicator
1/18/2026,password_reset,arominov2f,92.60.30.182
1/14/2026,logout,psimes2g,61.230.159.50
1/26/2026,login_success,mmabbe2h,54.116.165.25
1/18/2026,login_success,thilley2i,134.205.0.138
1/24/2026,logout,fchamberlen2j,16.51.46.163
1/3/2026,logout,jsink2k,150.138.130.208
1/24/2026,login_success,bcarlet2l,235.116.183.104
1/1/2026,login_success,mdemko2m,98.207.53.103
1/2/2026,login_failure,ljephcote2n,242.223.181.155
1/4/2026,logout,eblackburn2o,250.34.19.9
1/22/2026,login_failure,mmizen2p,106.143.214.148
1/16/2026,login_success,abenoey2q,219.15.164.105
1/24/2026,login_failure,jplacide2r,202.227.218.117
1/17/2026,login_success,rpriden2s,194.153.158.38
1/17/2026,logout,dadame2t,60.161.56.50
1/30/2026,logout,aantoshin2u,134.152.153.17
1/6/2026,logout,kswinley2v,132.12.242.85
1/11/2026,logout,mgoldthorp2w,130.240.208.27
1/3/2026,logout,ophipps2x,251.49.174.145
1/6/2026,login_failure,jgianelli2y,54.110.77.229
1/1/2026,login_failure,kmccoughan2z,3.226.178.213
1/3/2026,login_failure,wdalby30,125.141.78.103
1/15/2026,logout,wlebarr31,202.112.89.143
1/7/2026,logout,ewiffler32,226.140.192.231
1/26/2026,login_success,spilkinton33,89.94.150.248
1/18/2026,logout,smockford34,42.19.189.167
1/21/2026,login_success,thellicar35,98.164.72.7
1/9/2026,password_reset,cadamini36,119.39.204.5
1/7/2026,password_reset,lizatt37,71.111.22.228
1/14/2026,login_failure,gmerrywether38,150.69.11.51
1/22/2026,password_reset,bgaiger39,104.147.198.143
1/16/2026,logout,aboddis3a,82.46.134.240
1/29/2026,password_reset,pdatte3b,222.160.161.57
1/5/2026,password_reset,tmcrorie3c,6.75.81.209
1/29/2026,password_reset,nalford3d,222.64.222.106
1/16/2026,password_reset,imccallam3e,178.189.170.233
1/29/2026,login_failure,tgrimwad3f,90.162.115.219
1/8/2026,login_success,jlemonnier3g,113.78.21.63
1/20/2026,password_reset,twyleman3h,8.222.85.232
1/24/2026,password_reset,ycorwin3i,38.236.53.78
1/18/2026,logout,cdoggrell3j,96.161.91.106
1/6/2026,logout,shellcat3k,43.58.96.30
1/16/2026,password_reset,tlowther3l,116.109.139.211
1/13/2026,password_reset,tedwicker3m,148.54.241.123
1/1/2026,login_failure,aecles3n,84.12.112.114
1/21/2026,logout,icouronne3o,136.71.92.29
1/19/2026,password_reset,mteenan3p,129.126.86.216
1/16/2026,password_reset,aclissold3q,214.135.107.124
1/23/2026,password_reset,mmulcaster3r,194.184.31.70
1/18/2026,login_failure,lbasire3s,147.108.177.84
1/16/2026,logout,dmoncreiff3t,54.166.33.220
1/23/2026,login_success,rwinscomb3u,252.34.78.106
1/17/2026,login_failure,rmccrostie3v,180.224.130.136
1/11/2026,password_reset,esopp3w,149.210.248.58
1/11/2026,password_reset,fdegnen3x,215.220.86.147
1/1/2026,password_reset,hmerrifield3y,128.108.199.87
1/2/2026,login_success,rlowndsborough3z,36.233.47.159
1/13/2026,login_success,rvowdon40,10.228.118.242
1/2/2026,password_reset,amccullouch41,97.91.252.173
1/3/2026,password_reset,rsavege42,146.107.49.29
1/6/2026,login_success,msmails43,191.214.176.157
1/19/2026,login_success,smatej44,110.253.28.62
1/24/2026,login_success,lpagnin45,245.5.140.184
1/26/2026,login_success,hbotten46,152.226.238.2
1/23/2026,logout,kkeattch47,234.237.0.117
1/1/2026,password_reset,sspinke48,151.225.50.14
1/24/2026,login_success,idunklee49,107.79.198.17
1/10/2026,login_failure,hbaty4a,185.92.71.53
1/24/2026,login_failure,dvigurs4b,182.128.203.39
1/28/2026,logout,rdegg4c,89.104.241.199
1/4/2026,login_failure,hpollard4d,111.202.49.18
1/8/2026,login_failure,jvalasek4e,149.21.215.24
1/5/2026,login_success,tsayward4f,152.83.250.9
1/11/2026,logout,sbevis4g,16.152.158.25
1/30/2026,login_failure,rhyndes4h,198.196.74.14
1/3/2026,password_reset,aeubank4i,78.139.46.253
1/2/2026,login_success,eshaxby4j,26.190.76.121
1/24/2026,login_success,rmeaders4k,121.136.180.233
1/23/2026,password_reset,fgillet4l,240.177.50.174
1/20/2026,password_reset,wrix4m,194.119.34.86
1/29/2026,logout,bdadson4n,137.197.136.10
1/18/2026,password_reset,lgrummitt4o,133.136.79.37
1/7/2026,login_failure,dblacklock4p,47.44.72.37
1/12/2026,logout,gjakubczyk4q,252.3.209.141
1/17/2026,login_failure,dorpen4r,71.224.232.32
1/8/2026,login_failure,tschulkins4s,244.170.38.80
1/25/2026,logout,rghidini4t,102.12.24.59
1/1/2026,login_success,gskewes4u,238.176.146.7
1/2/2026,login_failure,bhitscher4v,221.244.35.150
1/13/2026,login_success,dbrahm4w,154.52.152.204
1/17/2026,password_reset,tdran4x,97.101.60.231
1/9/2026,password_reset,lpietzke4y,158.124.155.198
1/22/2026,login_failure,mbodycombe4z,85.36.25.98
1/17/2026,logout,igolledge50,48.114.49.122
1/4/2026,login_success,bpenhearow51,184.233.7.211
1/7/2026,login_failure,jbundey52,177.112.110.221
1/13/2026,logout,abanaszczyk53,252.90.87.22
1/25/2026,login_success,dcarlet54,23.249.34.74
1/1/2026,login_success,chaston55,68.32.149.91
1/27/2026,logout,melsmor56,77.90.46.19
1/27/2026,logout,msudddard57,173.211.229.187
1/11/2026,login_success,abridgeland58,48.72.131.241
1/16/2026,login_failure,wpetrishchev59,229.68.3.67
1/18/2026,logout,lbaroux5a,69.129.120.122
1/24/2026,login_failure,bmacphee5b,126.42.35.151
1/3/2026,login_failure,dmcdarmid5c,130.239.100.151
1/14/2026,password_reset,ngodbert5d,99.214.246.190
1/16/2026,login_success,egocher5e,5.74.254.27
1/22/2026,logout,ijephcote5f,172.35.213.141
1/19/2026,password_reset,mpetow5g,255.160.41.139
1/17/2026,login_failure,yskeat5h,196.177.36.84
1/29/2026,password_reset,flegendre5i,217.1.118.86
1/25/2026,login_failure,odurek5j,178.206.40.226
1/19/2026,login_success,hgolly5k,18.133.188.112
1/2/2026,password_reset,sjeste5l,107.88.155.232
1/29/2026,login_failure,bwhinray5m,112.158.172.15
1/13/2026,logout,csummerfield5n,205.155.241.40
1/20/2026,login_failure,tcaverhill5o,38.123.237.127
1/23/2026,password_reset,cappleton5p,93.53.22.210
1/29/2026,logout,acaven5q,37.193.240.248
1/12/2026,login_success,dolenchikov5r,58.10.1.221
1/15/2026,password_reset,dcaselli5s,178.51.66.19
1/26/2026,password_reset,bdyble5t,253.178.38.128
1/20/2026,login_failure,rkennewell5u,88.56.64.170
1/9/2026,password_reset,sholsall5v,255.177.229.26
1/6/2026,login_failure,saitkenhead5w,168.185.241.244
1/10/2026,logout,adunmore5x,83.13.68.40
1/29/2026,logout,lyggo5y,78.134.15.241
1/26/2026,logout,baymeric5z,254.192.130.202
1/18/2026,login_success,asames60,62.246.202.190
1/15/2026,login_failure,glaydel61,177.103.70.151
1/18/2026,password_reset,dtunnacliffe62,127.241.95.225
1/28/2026,password_reset,kpetera63,243.208.35.174
1/28/2026,logout,ohallbord64,49.17.105.85
1/4/2026,login_failure,ccoleiro65,60.162.105.220
1/9/2026,login_failure,klongfellow66,159.19.160.98
1/21/2026,login_success,dcockman67,251.31.219.137
1/4/2026,login_failure,glyal68,8.151.249.206
1/27/2026,login_failure,dsango69,215.167.216.199
1/15/2026,login_success,ssurmeyers6a,46.183.252.4
1/6/2026,password_reset,pkacheller6b,180.151.63.28
1/25/2026,password_reset,spretti6c,119.173.3.29
1/29/2026,login_failure,mpechard6d,88.114.135.9
1/4/2026,login_failure,cpyffe6e,153.220.11.249
1/1/2026,login_success,bdanne6f,221.188.130.204
1/19/2026,password_reset,cfallowfield6g,102.2.145.134
1/25/2026,login_failure,igiocannoni6h,162.33.95.98
1/22/2026,login_failure,zritter6i,77.128.50.5
1/22/2026,login_success,gbrandhardy6j,218.33.109.253
1/6/2026,password_reset,beggleson6k,210.70.172.57
1/30/2026,login_failure,vwilderspoon6l,193.189.234.219
1/29/2026,password_reset,nwightman6m,7.203.166.57
1/24/2026,login_failure,ckrzysztofiak6n,42.223.134.137
1/30/2026,login_failure,eduiged6o,42.135.251.51
1/5/2026,login_failure,oglasbey6p,182.24.47.221
1/22/2026,logout,mandrag6q,144.72.48.85
1/27/2026,login_failure,bquainton6r,138.47.154.186
1/25/2026,login_failure,fdudek6s,75.177.28.191
1/3/2026,password_reset,kbliben6t,136.63.212.91
1/3/2026,login_failure,tgealy6u,199.200.169.245
1/25/2026,login_success,charsant6v,142.119.188.122
1/13/2026,login_success,cgamlen6w,232.84.58.241
1/11/2026,password_reset,fbromell6x,233.84.25.121
1/26/2026,login_failure,steese6y,191.40.136.67
1/9/2026,password_reset,zvoisey6z,159.218.111.80
1/5/2026,login_failure,sbilham70,212.230.41.95
1/6/2026,password_reset,bhordle71,107.27.212.164
1/29/2026,login_success,cchatt72,77.35.224.206
1/12/2026,login_failure,nmatthai73,177.225.82.246
1/28/2026,login_failure,mshortcliffe74,15.170.121.86
1/7/2026,login_failure,mhallford75,5.68.204.171
1/7/2026,login_failure,ctuttiett76,57.79.166.100
1/23/2026,login_success,ccapsey77,30.227.216.95
1/1/2026,login_failure,samy78,7.85.96.147
1/1/2026,login_success,dcardenoza79,174.125.64.154
1/7/2026,login_success,gbuncher7a,194.130.79.144
1/10/2026,login_success,aschmuhl7b,40.192.176.251
1/17/2026,password_reset,xsheilds7c,1.80.51.243
1/30/2026,login_success,dbernardoux7d,17.223.136.40
1/5/2026,password_reset,cbicksteth7e,161.65.33.158
1/1/2026,login_failure,dgatch7f,119.212.254.234
1/13/2026,logout,zhartford7g,204.213.94.163
1/21/2026,logout,bbugg7h,53.172.160.85
1/28/2026,login_success,rumpleby7i,219.84.113.212
1/23/2026,password_reset,fstobbart7j,111.45.215.8
1/13/2026,login_failure,jsecret7k,49.167.80.3
1/29/2026,password_reset,bventura7l,220.218.27.173
1/18/2026,password_reset,kanstie7m,107.84.28.220
1/24/2026,login_success,qashbolt7n,144.14.152.165
1/25/2026,logout,bblanch7o,120.88.58.110
1/20/2026,login_success,dbleesing7p,200.91.112.137
1/17/2026,login_success,semburey7q,241.83.88.108
1/21/2026,login_failure,ogrealy7r,214.29.85.202
1/28/2026,logout,gcarrack7s,217.39.53.185
1/14/2026,logout,rblumsom7t,94.246.44.87
1/26/2026,login_success,rmcgennis7u,39.198.186.166
1/18/2026,logout,cdufray7v,172.121.70.247
1/5/2026,logout,sboich7w,88.28.39.123
1/26/2026,login_success,tmcnutt7x,150.55.127.222
1/9/2026,login_failure,bruppele7y,163.253.195.132
1/18/2026,password_reset,dbuzza7z,120.195.187.70
1/18/2026,login_success,vcallum80,245.58.54.255
1/1/2026,logout,osommerscales81,80.212.184.118
1/28/2026,login_failure,pbrandi82,230.185.165.133
1/2/2026,password_reset,nshevill83,218.178.103.97
1/18/2026,password_reset,abrazier84,19.44.186.131
1/14/2026,logout,sbenoix85,91.149.181.199
1/2/2026,login_failure,iwillsmore86,204.165.109.2
1/27/2026,login_failure,athurske87,237.142.139.119
1/7/2026,logout,lmarcinkowski88,153.49.192.191
1/27/2026,password_reset,kstollberg89,124.167.28.8
1/4/2026,password_reset,jtichner8a,197.117.106.25
1/12/2026,logout,afarrant8b,7.103.154.216
1/7/2026,login_success,mkidney8c,94.150.127.20
1/4/2026,password_reset,kblaes8d,236.133.93.213
1/17/2026,login_success,bwolfinger8e,46.217.157.38
1/30/2026,login_success,rilyas8f,235.13.101.245
1/23/2026,logout,aburdin8g,102.53.197.242
1/15/2026,login_success,akitcatt8h,31.220.217.159
1/10/2026,login_failure,hkayzer8i,17.94.20.86
1/1/2026,password_reset,glemasney8j,165.117.76.47
1/6/2026,login_success,senrique8k,41.86.166.230
1/1/2026,login_failure,ctoothill8l,217.251.192.197
1/20/2026,logout,icaudell8m,32.155.172.178
1/30/2026,logout,jmilligan8n,250.77.211.191
1/16/2026,login_failure,bwhitticks8o,134.150.138.31
1/23/2026,logout,azukerman8p,49.91.135.120
1/27/2026,login_failure,nromero8q,177.33.211.120
1/8/2026,login_success,cscouller8r,36.42.8.175
1/12/2026,login_success,rpelman8s,30.52.158.165
1/11/2026,password_reset,mwatling8t,229.75.74.253
1/30/2026,login_success,llouw8u,182.100.128.237
1/10/2026,password_reset,aghirardi8v,250.107.103.207
1/13/2026,login_failure,mccomini8w,124.43.238.13
1/30/2026,password_reset,bcapstack8x,108.82.165.51
1/12/2026,password_reset,mcobley8y,158.20.135.86
1/30/2026,password_reset,dlainge8z,132.8.13.14
1/30/2026,login_success,sboissieux90,211.114.27.248
1/20/2026,login_failure,ntowey91,69.59.57.91
1/7/2026,password_reset,cminghi92,27.250.145.255
1/14/2026,login_failure,creddle93,208.79.215.95
1/20/2026,logout,bfitt94,253.90.32.145
1/28/2026,password_reset,vchippindall95,160.69.194.52
1/3/2026,logout,aharvey96,19.137.17.37
1/28/2026,login_failure,ltrobe97,55.35.187.132
1/18/2026,login_failure,ekillshaw98,72.33.92.69
1/12/2026,login_success,lgooddie99,150.225.69.45
1/10/2026,password_reset,lrobeson9a,186.222.197.203
1/8/2026,password_reset,cbeevens9b,83.196.145.125
1/7/2026,logout,dmepham9c,71.60.192.75
1/27/2026,logout,emartijn9d,206.226.138.153
1/21/2026,password_reset,lwardale9e,167.188.136.27
1/12/2026,login_success,nsherebrook9f,65.192.143.2
1/28/2026,logout,tmundall9g,73.164.117.141
1/16/2026,login_failure,mede9h,245.52.170.1
1/8/2026,password_reset,jwoodrup9i,153.70.235.189
1/14/2026,login_success,gauletta9j,246.199.254.34
1/27/2026,password_reset,mmouse9k,182.72.61.160
1/21/2026,login_success,tsamett9l,80.146.8.228
1/14/2026,password_reset,agouldie9m,78.148.58.15
1/20/2026,password_reset,pdoniso9n,105.143.229.169
1/15/2026,login_failure,klosbie9o,28.251.60.75
1/2/2026,password_reset,mkeiley9p,201.200.194.50
1/22/2026,logout,fbrunet9q,67.91.100.251
1/3/2026,login_failure,ihatchette9r,72.236.36.20
1/28/2026,login_success,heley9s,125.39.88.140
1/28/2026,login_success,ccodrington9t,142.32.206.152
1/4/2026,logout,wwoolam9u,116.121.113.204
1/17/2026,login_failure,lkrugmann9v,139.73.15.1
1/1/2026,logout,aarnowicz9w,187.199.169.212
1/30/2026,login_failure,cvanderhoeven9x,185.207.109.170
1/20/2026,login_failure,icessford9y,181.81.173.43
1/15/2026,logout,fhacking9z,202.29.212.196
1/11/2026,logout,asperaa0,220.102.41.77
1/9/2026,password_reset,dharriea1,110.30.163.251
1/11/2026,logout,ktropmana2,187.255.41.247
1/25/2026,password_reset,kcompforta3,38.164.64.57
1/26/2026,login_success,umastersona4,128.131.206.60
1/26/2026,login_success,fraulta5,246.200.232.63
1/12/2026,logout,lpetrua6,255.113.217.178
1/11/2026,password_reset,gpembrya7,96.114.8.55
1/4/2026,logout,gbattlestonea8,122.236.146.39
1/23/2026,logout,ntolera9,17.231.213.208
1/14/2026,login_success,asissaa,143.60.117.18
1/25/2026,password_reset,gvivienab,30.87.172.84
1/10/2026,login_failure,lhuxtonac,79.67.155.125
1/27/2026,logout,ryurivtsevad,183.198.185.226
1/13/2026,logout,rbesae,87.154.154.185
1/28/2026,login_success,rrogezaf,225.18.98.62
1/27/2026,login_failure,kdrabbleag,216.201.131.221
1/28/2026,login_failure,aeselerah,255.252.249.139
1/12/2026,logout,fheamai,135.201.105.227
1/1/2026,password_reset,ikirtlanaj,184.30.17.182
1/8/2026,login_failure,rwebbak,213.175.0.125
1/15/2026,login_success,gbeedomal,181.101.182.223
1/12/2026,login_failure,gmargarsonam,233.156.247.92
1/26/2026,password_reset,vsemonan,228.79.29.153
1/22/2026,login_failure,fshepherdsonao,252.17.153.205
1/12/2026,login_success,baaronsonap,130.85.213.183
1/27/2026,login_failure,pkenanaq,16.167.104.108
1/22/2026,login_failure,kblownear,134.163.90.55
1/14/2026,login_failure,jfearnleyas,191.75.126.120
1/14/2026,login_failure,rseebertat,125.58.101.153
1/12/2026,login_success,bpaitonau,21.74.69.224
1/19/2026,password_reset,bharryav,75.111.143.59
1/26/2026,logout,rpethybridgeaw,71.247.133.31
1/16/2026,login_failure,nkordtax,211.20.79.4
1/12/2026,password_reset,wmogganay,202.1.147.232
1/3/2026,login_failure,ltwohigaz,242.212.46.158
1/17/2026,logout,jsydallb0,29.191.251.195
1/5/2026,login_success,froggeb1,193.106.208.147
1/2/2026,password_reset,lwilshawb2,31.44.179.127
1/1/2026,password_reset,ablampeyb3,35.218.0.55
1/23/2026,login_failure,ahobsonb4,145.218.239.69
1/23/2026,login_success,jnillesb5,57.53.52.110
1/22/2026,login_failure,mgamblesb6,235.82.93.25
1/3/2026,logout,mbazleyb7,81.14.170.61
1/15/2026,password_reset,mbrandleb8,99.55.125.10
1/2/2026,login_success,fhulkeb9,25.30.100.4
1/21/2026,login_failure,ynancekivellba,90.211.187.18
1/1/2026,login_failure,schampneysbb,146.78.62.64
1/19/2026,password_reset,eszymanekbc,18.114.234.224
1/11/2026,login_success,xtwelvebd,69.217.38.220
1/29/2026,password_reset,owhetnallbe,182.168.81.102
1/10/2026,login_failure,awaferbf,191.66.91.237
1/21/2026,login_failure,dbinfordbg,49.74.175.233
1/5/2026,login_success,dtanseybh,20.233.200.244
1/22/2026,login_success,jschachterbi,193.162.222.214
1/8/2026,login_success,pboldbj,57.138.47.151
1/20/2026,logout,lstringerbk,15.117.98.31
1/10/2026,logout,gpiffebl,183.146.69.198
1/24/2026,password_reset,edavidavidovicsbm,201.110.156.123
1/27/2026,login_success,rhuffbn,164.225.111.124
1/18/2026,password_reset,leyreebo,90.215.181.38
1/19/2026,password_reset,dsimonelbp,224.26.99.238
1/23/2026,login_failure,enewnsbq,11.14.202.167
1/30/2026,login_failure,mdyetbr,58.95.228.207
1/17/2026,logout,tcassellabs,3.238.98.176
1/15/2026,logout,lsladerbt,243.155.46.135
8/31/2022,quarantine_triggered,workstation-277,aef6a1c1df6836bebe786db2d5150719bee605190f8922a5657e3c8e0ab69bb4
10/28/2024,malware_alert,laptop-656,e5be2bf597ea6617323285ad8e0e9dcf32913771c23618009e48db9dc14ce51f
2/12/2020,malware_alert,server-112,cd0fc6e9bcac4246a39d83b111e27ab6629fddc2b4f0966876f79ad544689564
3/18/2022,file_hash_detected,host-666,9dcb657fded46ba0adc8f183d62a3e177a0beb49913ab879208eacbca8f2e12b
7/20/2027,malware_alert,host-529,531de08d21761ac5f8bb7f6452226b061b0c0c235ceb507c6c377e509ed4d4ba
8/30/2023,malware_alert,server-75,ef98371e5d896b27657bbaf7cbe97b6e4c78f040451a5ee2e628ed5ffef41f48
9/9/2029,file_hash_detected,laptop-364,851c586152c27f83db5b15b50b7d7cdade40218a912839d020937f00eb041b47
5/26/2027,scan_completed,server-320,ab38708b22ea24e5d75556fbbc37c2fd2590238d205f0d942d3a8d846a27e7c9
7/19/2028,quarantine_triggered,workstation-353,60aa78aa7cf1365367126a95fbd72ce5f5bd517965028396a7557a139be15778
5/17/2029,malware_alert,host-13,9f7791ac3e30c3fe3636c5894fe8bdbcf88d7740d73d0a78cff79615075a5d35
2/27/2021,malware_alert,laptop-653,d2e0f6aac39becd91301aee30e8f0c711d9fb70246092d0c50144fb25247e897
3/22/2020,quarantine_triggered,host-82,c388fdbde08d3a960f05de88b94453b6cd2c99d6df58628384b581e4c6d97933
9/9/2025,scan_completed,host-131,bcb8fccab16b49f9b002513bca2de6320589b26a7514cb8534d791b174cceb70
5/4/2020,malware_alert,laptop-231,105eea6714577eeeb54c63be04c4015077a5807bc0d8ced403449fb5ec2e5556
2/14/2030,file_hash_detected,laptop-652,9f1ade70c2a352cfc00ff277651aed1bdac9733ce0fe9d3b67e8a40755e0a83a
11/22/2022,quarantine_triggered,laptop-398,ee7febed7619576701ad426edc1e4aca6d97ce9cba4e2cfc7b1c0d456d1c8421
11/10/2029,malware_alert,workstation-153,3fc0e43a2babab0898e299395a0aef401e2be2396c2e993e3cc4c63827c6a578
12/18/2023,malware_alert,workstation-574,c4b214547221f593555c59d26a82242892646600a20483be029ac2d166806ac7
8/13/2027,malware_alert,server-651,bea57b16003e7a135b0ce9942201722007ab907cb9177724c41859214b94aeb6
11/12/2028,quarantine_triggered,server-153,720c159eb05cc0190a99c0b5a75946f160502919dd8d2a4e6f55b590ab701409
11/4/2027,file_hash_detected,host-159,3f1bc7c1bc851b78ac3d9908a4db0ac0631159307c7b7fb23f3164c9e1f8bc93
8/26/2023,file_hash_detected,laptop-7,bb99edbeef2c4d0089ad1363cc011a28f7ce58ea6253ab0ea3a248fe8004a527
10/18/2030,quarantine_triggered,host-444,53c46849a0aad1dd1dd3fce6baf9bbfc7f1c1fb64189ba3b5a09cb0f9edf9486
4/6/2030,scan_completed,host-291,c10465cb8b244e48f5c7c097f67b740b13dfa05c1b89ed93bc3f8652a914beb1
12/23/2020,file_hash_detected,workstation-252,2b6a4f86539fbf9df42de4e0da0b2372b1a7e521083a6efc730b32d70e71df6e
3/6/2029,quarantine_triggered,laptop-476,de826c933e3c39b9f08c7a9a4bc5fc2e108ace9f4e87b3d4c7781223ec427450
9/17/2028,malware_alert,workstation-271,0e1c2f7ca290d889178f56905e1c8011ba9d4ee53fdc91e0062913ffdd6cb1c4
11/26/2029,file_hash_detected,workstation-319,5d27b2ae93935798b656d02d4212a83d37d84fc5d397644e9038feaed0693064
10/19/2025,malware_alert,workstation-93,491097dd661aa1ac0876fe86dc6b9c9ee77869b15906217c5d1e0c3462f8246f
10/7/2024,scan_completed,host-74,2ab20e98a75a3c75d609e7d05f07d0a4411644058241a0c15161aa198e42687d
9/8/2027,quarantine_triggered,server-272,2ea36cd625fc9570ee2035c2ec9b32ab1438e89da828589bce20749f9b3448fb
5/13/2021,scan_completed,laptop-548,b17d86416763486a81ac27f4cf9e96ee507c4ab06477f8fc2853a26adc8d4cbc
1/28/2030,file_hash_detected,server-225,7d5a4dbf660cc6d12bec17f721f11ba3dcf8b51e7ebb112f0a1effab5663ed55
6/13/2025,scan_completed,server-208,06da8537dbf64e5c0bc7df90cb406301a0d126800f389cedb9ee0dd6822ad56b
9/8/2030,malware_alert,workstation-745,e338249eaf51ac71ef7e51cc1db41d07adeda450ce462636db8cbde0c40952f6
10/4/2027,malware_alert,workstation-620,fa059724441f17583a040694a526d98a18bcc21ca21d33adb468c02e94cd626f
1/6/2029,file_hash_detected,laptop-462,34cc30305aae2673fdbbd628f1b6e8840c1545412c979b6a9bc1aecd18e025b1
8/12/2027,file_hash_detected,host-570,0dac308060e8c775ceede46a7bf63633a1b96960bc93dd09b0ca83836e9758bb
5/19/2020,file_hash_detected,server-71,d666a518393014bf0313e143e0732c37dc5347e2b07a7ac6a0fa8e05bef3c0eb
6/21/2020,file_hash_detected,server-398,5816fce810c79190530c8963bb926e0b19c173cc2f4436cb2807292b84cc7084
9/30/2026,scan_completed,laptop-236,be806bc4e8751551515cc9669d44e3f65f226227d83b562170cc2e42b92f61dd
1/24/2028,file_hash_detected,host-622,9497d93b6752ab44a577e3649cea712b47d8c67231fe57d832bf4ff8da2c5ff0
2/5/2026,scan_completed,laptop-248,2e6baa18db6f96df614f5dbbf1ce1a997cc7775d529bff3ab060284ca8a0d7dd
